epoch,loss,accuracy,f1_score,val_loss,val_accuracy,val_f1_score,val_precision,val_recall
0,1.3738495111465454,0.2529013156890869,0.23931565880775452,1.3353791236877441,0.5503662824630737,0.5020473003387451,0.6200000047683716,0.5503662824630737
1,1.3211777210235596,0.45890945196151733,0.44991886615753174,1.3011655807495117,0.7152014374732971,0.7050328254699707,0.8001893758773804,0.7152014374732971
2,1.2655410766601562,0.6681103706359863,0.669941782951355,1.2691221237182617,0.7493131756782532,0.7491645812988281,0.8377329111099243,0.7493131756782532
3,1.2207839488983154,0.7242350578308105,0.7169237732887268,1.2408521175384521,0.7834249138832092,0.7828431129455566,0.8578869104385376,0.7834249138832092
4,1.1962058544158936,0.8111916780471802,0.8170965909957886,1.2119183540344238,0.7609890103340149,0.7579967975616455,0.8459383845329285,0.7609890103340149
5,1.1478325128555298,0.795491099357605,0.7959908843040466,1.184777021408081,0.7802197933197021,0.7778592109680176,0.853676438331604,0.7802197933197021
6,1.117680311203003,0.815619945526123,0.8199396133422852,1.1564805507659912,0.8186812996864319,0.815625011920929,0.8717319965362549,0.8186812996864319
7,1.1032088994979858,0.8188406229019165,0.8264502882957458,1.1320061683654785,0.8186812996864319,0.815625011920929,0.8717319965362549,0.8186812996864319
8,1.0666916370391846,0.9178743958473206,0.9204748868942261,1.107956886291504,0.8587453961372375,0.858025848865509,0.8943014740943909,0.8587453961372375
9,1.0255378484725952,0.8683575391769409,0.8745375871658325,1.0899662971496582,0.8779761791229248,0.8760308027267456,0.9078431129455566,0.8779761791229248
10,1.0229904651641846,0.9303542971611023,0.9338660836219788,1.0671017169952393,0.8587453961372375,0.858025848865509,0.8943014740943909,0.8587453961372375
11,0.9845596551895142,0.9053945541381836,0.9086401462554932,1.0568000078201294,0.898809552192688,0.9004181623458862,0.9233193397521973,0.898809552192688
12,0.9886531829833984,0.9472625255584717,0.9499822854995728,1.0423184633255005,0.8795787692070007,0.8818202614784241,0.9078431129455566,0.8795787692070007
13,0.9482578039169312,0.9380032420158386,0.9411221146583557,1.0355474948883057,0.9166666865348816,0.918749988079071,0.9444444179534912,0.9166666865348816
14,0.959515392780304,0.9053945541381836,0.9084301590919495,1.0268807411193848,0.9166666865348816,0.918749988079071,0.9444444179534912,0.9166666865348816
15,0.9276813268661499,0.9146537780761719,0.9171338677406311,1.024289846420288,0.9166666865348816,0.918749988079071,0.9444444179534912,0.9166666865348816
16,0.9472896456718445,0.945652186870575,0.9480335712432861,1.0212054252624512,0.9166666865348816,0.918749988079071,0.9444444179534912,0.9166666865348816
17,0.9091842770576477,0.9255234003067017,0.9282465577125549,1.014439582824707,0.9166666865348816,0.918749988079071,0.9444444179534912,0.9166666865348816
18,0.9603473544120789,0.9162641167640686,0.9198854565620422,1.007598876953125,0.9166666865348816,0.918749988079071,0.9444444179534912,0.9166666865348816
19,0.9292133450508118,0.9386417865753174,0.9416666626930237,1.0060315132141113,0.9166666865348816,0.918749988079071,0.9444444179534912,0.9166666865348816
